gene,categoria,gram,peso,evidencia
ssek1,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
stm4157,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
stmf1.17,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
ssek2,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
stm2137,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
spvb,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
spva,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
pslt039,Efetor plasmidial associado à virulência,neg,3,True
vapc,Toxina de sistema toxina-antitoxina VapBC,neg,3,True
pslt106,Efetor plasmidial associado à virulência,neg,3,True
hlya,Toxina hemolisina,neg,3,True
cif,Efetor de T3SS (fator de interferência no ciclo celular),neg,3,True
suba,Subunidade de toxina proteica,neg,3,True
elta,Enterotoxina LT subunidade A,neg,3,True
ltpa,Enterotoxina LT subunidade A,neg,3,True
sta3,Enterotoxina termoestável,neg,3,True
sta4,Enterotoxina termoestável,neg,3,True
eltb,Enterotoxina LT subunidade B,neg,3,True
ltpb,Enterotoxina LT subunidade B,neg,3,True
cdia,Toxina distensora citoletal (CDT),neg,3,True
ospc3,Efetor de T3SS (OspC3),neg,3,True
cdta,Toxina distensora citoletal (CDT),neg,3,True
sta1,Enterotoxina termoestável,neg,3,True
stii,Enterotoxina termoestável,neg,3,True
cdtb,Toxina distensora citoletal (CDT),neg,3,True
cdtc,Toxina distensora citoletal (CDT),neg,3,True
sta2,Enterotoxina termoestável,neg,3,True
stx2,Toxina Shiga,neg,3,True
a-subunit,Subunidade A de toxina,neg,3,True
stx-2,Toxina Shiga,neg,3,True
a,Subunidade A de toxina,neg,3,True
subunit,Subunidade de toxina,neg,3,True
stx2a,Toxina Shiga,neg,3,True
stx2a_1,Toxina Shiga,neg,3,True
stx2ca,Toxina Shiga,neg,3,True
stx2va,Toxina Shiga,neg,3,True
stxa2,Toxina Shiga,neg,3,True
vta,Toxina Shiga,neg,3,True
vtx2a,Toxina Shiga,neg,3,True
abe91_023155,Gene associado à virulência (função não caracterizada),neg,3,True
btq06_25175,Gene associado à virulência (função não caracterizada),neg,3,True
bvcmskkp061_02557,Gene associado à virulência (função não caracterizada),neg,3,True
div22_21825,Gene associado à virulência (função não caracterizada),neg,3,True
stx2d2a,Toxina Shiga,neg,3,True
stx2da,Toxina Shiga,neg,3,True
stx2ga,Toxina Shiga,neg,3,True
stxa2c,Toxina Shiga,neg,3,True
g4a47_16505,Gene associado à virulência (função não caracterizada),neg,3,True
cdt-va,Toxina distensora citoletal (CDT),neg,3,True
vagd,Fator de adesão/virulência,neg,3,True
bgz_00044,Gene associado à virulência (função não caracterizada),neg,3,True
rcs36_pi-ii0053,Gene associado à virulência (função não caracterizada),neg,3,True
hly,Toxina hemolisina,pos,3,True
hla,Toxina hemolisina alfa,pos,3,True
enta,Enterotoxina,pos,3,True
entc2,Enterotoxina,pos,3,True
enth,Enterotoxina,pos,3,True
seh,Enterotoxina,pos,3,True
entc3,Enterotoxina,pos,3,True
hld,Toxina delta,pos,3,True
ente,Enterotoxina,pos,3,True
entb,Enterotoxina,pos,3,True
hlga,Hemolisina gama,pos,3,True
hlg2,Hemolisina gama,pos,3,True
entd,Enterotoxina,pos,3,True
lukf,Leucocidina,pos,3,True
luks,Leucocidina,pos,3,True
entc1,Enterotoxina,pos,3,True
luke,Leucocidina,pos,3,True
tst,Toxina da síndrome do choque tóxico,pos,3,True
eta,Toxina esfoliativa,pos,3,True
entg,Enterotoxina,pos,3,True
seg,Enterotoxina,pos,3,True
lukd,Leucocidina,pos,3,True
hlb,Hemolisina beta,pos,3,True
plc,Fosfolipase C,pos,3,True
hlgc,Hemolisina gama,pos,3,True
etb,Toxina esfoliativa,pos,3,True
hlgb,Hemolisina gama,pos,3,True
bn1321_240005,Gene associado à virulência (função não caracterizada),pos,3,True
go793_03050,Gene associado à virulência (função não caracterizada),pos,3,True
go941_14550,Gene associado à virulência (função não caracterizada),pos,3,True
tmsfp482_10480,Gene associado à virulência (função não caracterizada),pos,3,True
g0004_13910,Gene associado à virulência (função não caracterizada),pos,3,True
hly1,Toxina hemolisina,pos,3,True
lmo0202,Gene associado à virulência (função não caracterizada),pos,3,True
bes38_07745,Gene associado à virulência (função não caracterizada),pos,3,True
cd20_14235,Gene associado à virulência (função não caracterizada),pos,3,True
d4271_14145,Gene associado à virulência (função não caracterizada),pos,3,True
d4c60_15385,Gene associado à virulência (função não caracterizada),pos,3,True
d4d89_14080,Gene associado à virulência (função não caracterizada),pos,3,True
d5m70_14205,Gene associado à virulência (função não caracterizada),pos,3,True
e0i39_14285,Gene associado à virulência (função não caracterizada),pos,3,True
e1v33_13495,Gene associado à virulência (função não caracterizada),pos,3,True
fju19_13850,Gene associado à virulência (função não caracterizada),pos,3,True
g3r95_002926,Gene associado à virulência (função não caracterizada),pos,3,True
ctx,Toxina colérica,neg,3,True
vagc,Fator de adesão/virulência,neg,3,True
caz10_10370,Gene associado à virulência (função não caracterizada),neg,3,True
mvpa,Fator de adesão/virulência,neg,3,True
cp25,Gene associado à virulência (função não caracterizada),neg,3,True
gnq20_30375,Gene associado à virulência (função não caracterizada),neg,3,True
alp65_03380,Gene associado à virulência (função não caracterizada),neg,3,True
exot,Exotoxina,neg,3,True
cdia1,Toxina distensora citoletal (CDT),neg,3,True
yope_2,Efetor Yop (T3SS),neg,3,True
tueid40_04825,Gene associado à virulência (função não caracterizada),neg,3,True
exos,Exotoxina,neg,3,True
yope_1,Efetor Yop (T3SS),neg,3,True
paerug_p19_london_7_vim_2_05_10_06238,Gene associado à virulência (função não caracterizada),neg,3,True
gnq48_28195,Gene associado à virulência (função não caracterizada),neg,3,True
gul26_36560,Gene associado à virulência (função não caracterizada),neg,3,True
f7o97_28785,Gene associado à virulência (função não caracterizada),neg,3,True
gnq20_20390,Gene associado à virulência (função não caracterizada),neg,3,True
cp0115,Gene associado à virulência (função não caracterizada),neg,3,True
sf_p0115,Gene associado à virulência (função não caracterizada),neg,3,True
ospc1,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
cp0094,Gene associado à virulência (função não caracterizada),neg,3,True
sf_p0094,Gene associado à virulência (função não caracterizada),neg,3,True
ospz,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
dk174_21500,Gene associado à virulência (função não caracterizada),neg,3,True
ospc4,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
cp0005,Gene associado à virulência (função não caracterizada),neg,3,True
sf_p0005,Gene associado à virulência (função não caracterizada),neg,3,True
ospc2,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
cp0063,Gene associado à virulência (função não caracterizada),neg,3,True
sf_p0063,Gene associado à virulência (função não caracterizada),neg,3,True
ospd3,Efetor de sistema de secreção tipo III (T3SS),neg,3,True
cp0093,Gene associado à virulência (função não caracterizada),neg,3,True
sf_p0093,Gene associado à virulência (função não caracterizada),neg,3,True
ceg97_21545,Gene associado à virulência (função não caracterizada),neg,3,True
samea3710514_04731,Gene associado à virulência (função não caracterizada),neg,3,True
dk174_16565,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9783_05133,Gene associado à virulência (função não caracterizada),neg,3,True
ceg97_05710,Gene associado à virulência (função não caracterizada),neg,3,True
ceg97_01950,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9783_05162,Gene associado à virulência (função não caracterizada),neg,3,True
samea3710514_05301,Gene associado à virulência (função não caracterizada),neg,3,True
gln84_23460,Gene associado à virulência (função não caracterizada),neg,3,True
gln84_24275,Gene associado à virulência (função não caracterizada),neg,3,True
dk174_22685,Gene associado à virulência (função não caracterizada),neg,3,True
samea3710514_05304,Gene associado à virulência (função não caracterizada),neg,3,True
dk174_22755,Gene associado à virulência (função não caracterizada),neg,3,True
samea3710514_05081,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9783_05182,Gene associado à virulência (função não caracterizada),neg,3,True
sflp147,Gene associado à virulência (função não caracterizada),neg,3,True
inf167p1_00142,Gene associado à virulência (função não caracterizada),neg,3,True
vapc_1,Toxina de sistema toxina-antitoxina VapBC,neg,3,True
vapc_2,Toxina de sistema toxina-antitoxina VapBC,neg,3,True
nctc204_06990,Gene associado à virulência (função não caracterizada),neg,3,True
nctc8849_06658,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9637_00067,Gene associado à virulência (função não caracterizada),neg,3,True
samea4873646_05045,Gene associado à virulência (função não caracterizada),neg,3,True
samea4873655_03326,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9183_00522,Gene associado à virulência (função não caracterizada),neg,3,True
ie990_30190,Gene associado à virulência (função não caracterizada),neg,3,True
ie992_28380,Gene associado à virulência (função não caracterizada),neg,3,True
ie996_30360,Gene associado à virulência (função não caracterizada),neg,3,True
fme62_27155,Gene associado à virulência (função não caracterizada),neg,3,True
samea4364603_04576,Gene associado à virulência (função não caracterizada),neg,3,True
eao28_30645,Gene associado à virulência (função não caracterizada),neg,3,True
samea4873629_05348,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9183_00382,Gene associado à virulência (função não caracterizada),neg,3,True
ie978_01885,Gene associado à virulência (função não caracterizada),neg,3,True
q6294_28115,Gene associado à virulência (função não caracterizada),neg,3,True
g4v31_28080,Gene associado à virulência (função não caracterizada),neg,3,True
nctc11679_06177,Gene associado à virulência (função não caracterizada),neg,3,True
puuh_puuh2392p0092,Gene associado à virulência (função não caracterizada),neg,3,True
nctc204_07118,Gene associado à virulência (função não caracterizada),neg,3,True
nctc5051_05839,Gene associado à virulência (função não caracterizada),neg,3,True
nctc5052_05792,Gene associado à virulência (função não caracterizada),neg,3,True
nctc5053_07019,Gene associado à virulência (função não caracterizada),neg,3,True
nctc8849_05859,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9601_00239,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9617_00135,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9637_00358,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9645_06374,Gene associado à virulência (função não caracterizada),neg,3,True
fxn67_21285,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9140_00752,Gene associado à virulência (função não caracterizada),neg,3,True
nctc9617_03578,Gene associado à virulência (função não caracterizada),neg,3,True
ete64_21905,Gene associado à virulência (função não caracterizada),neg,3,True
ete86_19880,Gene associado à virulência (função não caracterizada),neg,3,True
samea4873646_05006,Gene associado à virulência (função não caracterizada),neg,3,True
samea4873647_04908,Gene associado à virulência (função não caracterizada),neg,3,True
dm078_27535,Gene associado à virulência (função não caracterizada),neg,3,True
fxn67_28215,Gene associado à virulência (função não caracterizada),neg,3,True
ipf_184,Gene associado à virulência (função não caracterizada),neg,3,True
ipf_89,Gene associado à virulência (função não caracterizada),neg,3,True
samea3499874_05261,Gene associado à virulência (função não caracterizada),neg,3,True
samea3499901_05248,Gene associado à virulência (função não caracterizada),neg,3,True
b5l96_08425,Gene associado à virulência (função não caracterizada),neg,3,True
b6i68_17390,Gene associado à virulência (função não caracterizada),neg,3,True
banra_01712,Gene associado à virulência (função não caracterizada),neg,3,True
bl124_00012810,Gene associado à virulência (função não caracterizada),neg,3,True
cp554_16845,Gene associado à virulência (função não caracterizada),neg,3,True
dm078_20200,Gene associado à virulência (função não caracterizada),neg,3,True
dw286_17065,Gene associado à virulência (função não caracterizada),neg,3,True
e1814_17355,Gene associado à virulência (função não caracterizada),neg,3,True
eao17_14150,Gene associado à virulência (função não caracterizada),neg,3,True
g4v31_22355,Gene associado à virulência (função não caracterizada),neg,3,True
gjj01_22495,Gene associado à virulência (função não caracterizada),neg,3,True
gjj08_026430,Gene associado à virulência (função não caracterizada),neg,3,True
gjj18_19920,Gene associado à virulência (função não caracterizada),neg,3,True
gnf00_11530,Gene associado à virulência (função não caracterizada),neg,3,True
h3g96_026530,Gene associado à virulência (função não caracterizada),neg,3,True
jmz77_26110,Gene associado à virulência (função não caracterizada),neg,3,True
kpzu09_51520,Gene associado à virulência (função não caracterizada),neg,3,True
ls45_15465,Gene associado à virulência (função não caracterizada),neg,3,True
nctc11679_05636,Gene associado à virulência (função não caracterizada),neg,3,True
nctc13443_00679,Gene associado à virulência (função não caracterizada),neg,3,True
nctc13465_05507,Gene associado à virulência (função não caracterizada),neg,3,True
